Prov/Muni,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019
Abra,46.51,14.01,12.41,28.64,75.19,288.12
Bangued,16.77,6.16,10.59,22.27,70.37,292.25
Boliney,69.9,16.27,14.98,36.13,89.69,300.94
Bucay,18.48,8.93,12.79,30.65,101.29,350.66
Bucloc,54.68,15.42,11.69,32.2,84.06,297.09
Daguioman,83.14,20.21,17.67,39.4,95.18,302.75
Danglas,26.26,7.97,8.97,17.93,55.66,270.84
Dolores,13.23,9.19,10.63,28.66,88.54,323.7
La Paz,16.75,7.43,10.53,22.98,72.3,291.22
Lacub,80.42,22.85,16.16,35.4,80.4,287.17
Lagangilang,20,11.88,9.69,28.7,88.22,323.6
Lagayan,31.32,12.48,8.82,20.9,59.94,283.77
Langiden,16.74,4.85,6.63,15.54,48.34,259.25
Licuan-Baay,52.08,17.17,12.25,30.96,87.85,313.37
Luba,37.37,9.53,9.32,23.68,60.79,264.08
Malibcong,94.03,24.46,20,40.08,91.34,290.79
Manabo,29.86,10.05,9.44,24.96,71.76,287.74
Penarrubia,12.57,6.3,13.74,29.31,97.24,343.19
Pidigan,15.5,5.16,9.33,21.18,59.34,264.4
Pilar,21.27,6.79,9.2,19.19,47.91,245.63
Sallapadan,38.1,12.24,10.62,29.89,86.88,307.04
San Isidro,17.86,6.63,10.26,22.47,62.9,266.12
San Juan,27.13,12.72,7.61,24.2,70.78,287.67
San Quintin,20.85,4.33,5.77,15.75,41.22,230.66
Tayum,8.34,6.43,13.71,29.53,97.54,341.13
Tineg,77.21,23.93,15.78,32.2,69.87,272.96
Tubo,57.07,12.84,12.82,34.13,82.67,287.15
Villaviciosa,21.32,7.78,10.61,22.32,60.96,268.32
Agusan del Norte,454.69,477.28,367.67,311.47,205.85,152.84
Buenavista,318.01,364.85,316.95,252.73,152.11,127.14
Butuan City,383.58,460.1,351.65,297.1,194.33,149.32
Cabadbaran City,554.16,560.72,432.53,369.05,243.88,173.84
Carmen,359.06,373.24,292.93,249.93,152.06,125.06
Jabonga,587.52,551.62,416.65,345.17,238.61,154.71
Kitcharao,602.44,561.02,414.38,351.74,258.73,151.78
Las Nieves,345.77,419.77,300.39,287.34,190.31,174.83
Magallanes,415.97,473.42,359.11,285.47,198.69,127.9
Mainit Lake,583.96,549.55,394.84,321.96,240.9,141.99
Nasipit,336.83,361.21,311.79,253.76,148.19,126.34
Remedios T. Romualdez,497.73,526.86,391.17,349.82,234.28,165.22
Santiago,612.44,564.49,448.81,376.36,248.54,172.11
Tubay,529.37,543.5,418.48,328.57,215.37,152.87
Agusan del Sur,437.13,498.78,318.71,355.71,240.67,230.67
Bayugan City,450.77,542.61,359.09,365.09,228.92,200.92
Bunawan,520.68,573.51,345.86,404.62,289.6,247.1
Esperanza,375.89,462.87,302.41,313.65,199.49,199.99
La Paz,377.23,442.71,284.15,329.76,222.61,243.39
Loreto,371.71,411.92,265.28,331.38,240.06,250.58
Prosperidad,496.66,576.92,367.24,382.21,239.41,214.37
Rosario,560.53,583.99,361.51,394.16,296.62,253.12
San Francisco,510.16,576.69,351.34,386.43,251.96,225.34
San Luis,367.45,450.17,291.27,322.07,199.6,227.71
Santa Josefa,457.6,523.72,314.98,393.22,258.74,246.28
Sibagat,510.81,556.49,395.24,378.16,243.83,191.89
Talacogon,438.3,538.26,330.46,367.61,221.96,213.93
Trento,504.38,565.3,342.97,390.19,299.09,250.84
Veruela,389.27,414.13,268.06,344.69,244.69,248.15
Aklan,290.91,146.55,88.48,113.18,73.25,205.03
Altavas,299.34,158.13,101.96,123.77,74.02,172.43
Balete,347.38,178.28,118.32,151.65,78.04,181.47
Banga,278.62,153.62,98.68,125.4,75.91,171.47
Batan,315.51,161.37,102.91,120.47,70.49,154.16
Buruanga,267.23,132.03,70.04,72.73,55.79,206.23
Ibajay,315.46,160.81,89.78,106.89,70.3,228.9
Kalibo,235.04,131.62,82.02,94.22,73.94,172.82
Lezo,225.48,127.44,80.58,96.08,77.11,178.03
Libacao,302.96,141.16,95.65,143.09,85.47,237.35
Madalag,292.5,132.24,79.6,129.36,83.75,250.74
Makato,253.81,133,79.89,97.42,71.86,192.63
Malay,254.83,124.92,65.5,67.81,56.05,194.89
Malinao,297.53,146.16,85.26,120.55,78.29,220.84
Nabas,286.84,154.56,80.61,90.62,62.94,228.13
New Washington,287.54,149.46,94.82,106.84,69.52,155.42
Numancia,234.68,127.09,79.64,93.14,75.44,174.63
Tangalan,274.9,142.16,83.24,95.3,68.49,200.47
Albay,433.68,250.4,166.3,162.1,126.26,200.68
Bacacay,477.7,302.08,203.13,186.32,148.96,183.32
Bato Lake,412.61,190.87,129.6,119.19,105.37,181.92
Camalig,444.79,260.85,173.27,171.96,133.5,205.92
Daraga,465.41,294.59,198.86,198.4,151.52,212.14
Guinobatan,419.27,219.37,139.95,138.03,109.09,195.86
Jovellar,394.65,221.16,146.8,126.22,101.49,176.78
Legazpi City,448.06,285.45,193.77,186.95,141.83,189.41
Libon,391.23,192.88,126.55,118.98,96.43,185.84
Ligao City,397.18,211.61,138.11,131.75,105.77,193.95
Malilipot,508.17,311.93,203.68,217.12,164.65,227.14
Malinao,477.02,274.4,196.61,207.51,163.02,268.16
Manito,363.2,224.13,149.41,131.67,97.87,150.81
Oas,377.85,200.39,131.15,125.81,99.75,191.31
Pio Duran,375.19,198.08,125.12,113.36,86.67,178.33
Polangui,421.84,214.68,146.47,141.76,116.16,190.66
Rapu-Rapu,464.34,304.67,191.21,172.19,131.74,180.44
Santo Domingo,517.98,335.17,217.78,237.69,172.85,224.15
Tabaco City,481.98,288.28,195.22,198.16,155.45,227.56
Tiwi,477.07,270.03,191.79,203.18,155.27,263.88
Antique,171.66,72.69,38.96,55.29,52.49,241.76
Anini-Y,81.67,32.9,14.72,27.21,33.04,162.87
Barbaza,193.88,72.77,38.09,71.49,60.95,278.58
Belison,113.05,44.6,27.84,33.5,40.69,237.32
Bugasong,144.94,55.25,28.72,50.16,52.72,285.05
Caluya,132.63,54.66,27.61,22.82,28.26,130.61
Culasi,265.79,97.11,49.92,80.11,66.66,230.42
Hamtic,104.49,42.41,23.26,34.05,36.97,226.57
Laua-An,160.02,55.15,30.88,47.09,46.59,274.64
Libertad,259.19,129.05,68.83,74.96,57.08,210.74
Pandan,347.13,189.2,102.28,111.62,71.59,267.06
Patnongon,113.46,45.56,23.48,30.52,45.14,254.96
San Jose,76.59,35.92,26.04,27.83,31.1,225.25
San Remigio,117.03,52.93,28.8,50.18,61.12,277.6
Sebaste,361.65,178.16,95.25,119.93,79.24,281.16
Sibalom,114.06,48.76,27.17,43.07,44.67,249.86
Tibiao,251.31,83.16,45.5,73.83,67.98,262.3
Tobias Fornier,93.78,32.78,16.2,25.85,32.99,167.84
Valderrama,134.59,55.81,30.76,56.4,63.07,290.29
Apayao,154.67,49.28,30.27,59.9,68.75,208.14
Calanasan,123.15,38.83,26.96,65.36,73.92,235.73
Conner,155.15,39.59,25.59,46.07,70.13,232.29
Flora,149.15,59.99,34.91,54.15,56.83,147.96
Kabugao,173.86,51.58,27.61,50.18,69.99,226.01
Luna,163.65,55.04,36.18,84.46,70.43,179.05
Pudtol,169.49,58.59,35.94,62.38,65.26,181.99
Santa Marcela,162.4,80.98,44.2,67.97,48.92,114.98
Aurora,301.23,130.51,104.55,155.09,125.15,252.64
Baler,174.98,158.51,136.97,198.02,186.51,302.85
Casiguran,464.13,164.2,122.52,196.42,118.25,233.7
Dilasag,480.7,151.39,126.91,179.68,117.88,223.98
Dinalungan,354.91,126.3,103.87,160.4,109.07,229.81
Dingalan,230.6,93.74,61.95,95.44,100.81,222.5
Dipaculao,235.5,112.78,96.44,145.56,127.42,256.35
Maria Aurora,174.26,109.52,96.96,134.97,132.64,282.6
San Luis,173.04,124.27,101.1,137.02,139.91,294.25
Basilan,117.86,101.16,82.89,99.11,116.84,146.61
Akbar,102.57,119.17,99.03,114.9,132.67,168.57
Al-Barka,109.89,110.42,93.37,100.44,122.27,153.97
Hadji Mohammad Ajul,119.88,105.66,90.66,100.63,124.65,170.8
Isabela City,139.22,99.24,88.55,95.73,113.48,152.64
Lamitan City,103.89,104.72,97.74,100.69,119.28,158.26
Lantawan,101.98,66.89,49.07,71.18,87.06,94.4
Maluso,144.78,116.24,71.63,104.33,138.69,152.49
Sumisip,131.81,111.34,88.42,113.37,124.05,156.65
Tipo-Tipo,111.42,112.23,99.78,111.83,124.66,167.73
Tuburan,109.68,110.1,99.03,105.54,125.91,174.56
Ungkaya Pukan,120.74,115.18,96.92,114.35,124.53,160.32
Bataan,48.15,4.22,3.73,3.93,20.72,223.15
Abucay,56.13,4.11,3.81,3.46,22.18,221.49
Bagac,50.62,4.01,2.71,3.05,20.81,233.26
Balanga City,50.23,3.97,6.31,3.42,20.87,211.89
Dinalupihan,40.41,3.42,5.04,7.68,24.6,213.98
Hermosa,42.55,3.5,3.61,5.06,23.12,223.54
Limay,53.54,7.1,4.64,3.49,17.05,241.97
Mariveles,45.82,4.97,3.37,2.79,15.78,193.78
Morong,50.49,3.94,1.9,3.34,20.89,251.32
Orani,46.53,3.72,3.41,4.25,22.78,218.54
Orion,46.35,5.46,5.53,4.43,17.95,219.9
Pilar,44.36,4.12,5.4,3.44,20.06,217.03
Samal,51.73,3.95,3.48,4.03,22.69,221.49
Batanes,100.77,122.51,83.72,70.29,45.27,205.52
Basco,122.38,152.26,128.8,110.6,54.18,234.74
Itbayat,82.88,101.73,53.28,42.35,39.86,212.46
Ivana,101.01,128.14,100.57,85.13,47.22,184.9
Mahatao,114.15,147.82,130.66,108.53,53.42,204.38
Sabtang,121.84,137.33,91.81,80.69,47.47,199.61
Uyugan,103.95,124.98,92.13,79.02,45.75,180.04
Batangas,140.9,34.31,21.53,25.06,34.54,144.88
Agoncillo,147.73,25.12,15.39,16.79,28.47,148.6
Alitagtag,139.26,32.81,22.1,24.48,34.77,141.02
Balayan,97.85,20.37,13.5,6.28,21.27,147.66
Balete,174.64,34.11,24.88,31.59,42.68,144.78
Batangas City,153.3,40.15,20.65,29.9,39.37,142.58
Bauan,139.27,27.49,18.02,18.93,32.83,135.48
Calaca,101.64,22.01,13.44,9.68,23.68,152.1
Calatagan,103.81,18.46,13.38,4.91,20.09,140.26
Cuenca,177.07,34.09,20.3,26.11,36.99,154.33
Ibaan,129.01,42.23,29.54,32.89,39.42,137.53
Laurel,124.51,24.52,11.74,19.02,30.87,163.88
Lemery,113.51,24.02,15.59,15.13,27.92,144.91
Lian,89.37,15.75,13.42,4.1,18.99,141.2
Lipa City,153.45,45.07,32.17,40.13,46.71,153.05
Lobo,169.4,56.94,24.44,38.63,42.57,156.86
Mabini,149.49,25.24,13.32,17.84,31.99,138.46
Malvar,167.18,37,26.75,34.16,44.36,146.27
Mataas Na Kahoy,198.38,31.84,20.52,27.84,38.98,157.35
Nasugbu,77.85,11.23,8.63,5.78,22.79,145.13
Padre Garcia,151.9,52.99,39.75,43.38,46.25,142.36
Rosario,149.45,57.13,36.87,43.14,44.18,142.9
San Jose,146.76,38.26,26.07,31.05,39.05,145.81
San Juan,196.68,66.09,41.44,46.03,42.18,134.64
San Luis,120.97,30.27,19.02,20.67,32.64,142.31
San Nicolas,163.77,25.42,18.44,21.7,31.11,138.15
San Pascual,137.14,30.09,20.57,22.1,33.53,131.83
Santa Teresita,135.12,30.53,21.39,23.68,32.82,142.64
Santo Tomas,148.63,41.09,27,35.9,43.6,151.72
Taal,132.06,28.44,19.82,20.53,29.95,141.85
Taal lake,169.84,26.07,16.77,22.11,32.53,144.88
Talisay,160.65,23.26,12.52,20.61,31.05,144
Tanauan City,157.66,31.1,19.88,27.3,36.67,143.44
Taysan,149.68,54.5,33.53,41.63,44.23,142.55
Tingloy,159.48,30.04,16.35,22.44,35.3,133.75
Tuy,93.75,18.9,13.33,6.02,21.49,147.49
Benguet,50.78,12.15,20.34,45.21,110.56,304.85
Atok,45.4,10.67,23.16,47.38,113.02,300.87
Baguio City,37.24,10.42,15.41,31.8,100.79,312.36
Bakun,35.69,10.56,16.06,49.26,102.81,307.52
Bokod,72.03,18.06,34.52,51.79,127.85,316.48
Buguias,53.89,17.08,24.02,70.06,127.39,275.44
Itogon,60.73,12.08,19.79,34.83,110.84,293.68
Kabayan,60.71,18.29,23.65,63.2,126.17,284.76
Kapangan,41.23,8.55,19.71,41.94,97.52,299.9
Kibungan,44.17,10.29,15.5,48.57,107.05,297.67
La Trinidad,40.22,10.56,19.99,38.38,105.82,311.49
Mankayan,46.51,13.89,24.66,62.32,126.01,345.1
Sablan,42.34,7.83,13.17,28.62,84.49,307.68
Tuba,49.74,7.47,6.95,26.03,94.57,314.24
