Prov/Muni,NOV-2018,DEC-2018,JAN-2019,FEB-2019,MAR-2019,APR-2019
Abra,156.44,46.99,13.78,12.07,28.52,75.29
Bangued,213.92,62.25,20.98,14.18,26.39,62.92
Boliney,189.24,55.44,17.77,12.16,25.41,60.99
Bucay,237.78,82.34,22.31,15.36,31.3,64.35
Bucloc,141.88,35.19,14.51,8.19,22.54,63.13
Daguioman,227.19,77.38,23.36,14.57,33.39,74.06
Danglas,123.65,32.51,10.53,8.5,21,60.77
Dolores,125.63,30.03,13.08,6.77,23.88,69.76
La Paz,236.6,85.15,22.06,14.92,34.05,77.85
Lacub,143.16,43.74,12.23,12.43,26.14,68.73
Lagangilang,134.16,28.16,13.46,7.94,25.64,78.14
Lagayan,236.76,85.89,23.52,17.67,37.52,83.31
Langiden,81.51,14.35,5.29,9.78,21.5,69.71
Licuan-Baay,147.97,41.18,14.43,12.18,29.72,81.67
Luba,70.58,9.39,5.28,10.86,24.98,74.14
Malibcong,163.38,42.47,14.88,14.33,32.6,98.09
Manabo,76.34,21.43,4.95,8.31,19.62,55.74
Penarrubia,100.65,17.52,6.19,12.21,26.5,83.77
Pidigan,144.17,29.36,10.31,11.67,30.99,98.89
Pilar,216.32,75.92,19.6,15.05,35.6,94.54
Sallapadan,102,30.07,8.02,10.62,23.7,63.71
San Isidro,115.4,25.1,8.86,10.58,26.1,81.69
San Juan,187.44,60.37,14.99,11.73,32.64,86.76
San Quintin,202.86,71.65,18.29,15.02,35.21,88.4
Tayum,86.63,20.52,7.58,9.56,21.98,61.99
Tineg,144.87,45.74,12.2,11.52,28.05,72.09
Tubo,174.11,59.02,13.04,12.33,32.08,79.09
Villaviciosa,156.34,55.41,11.66,12.65,35.92,85.69
Agusan del Norte,301.27,455.75,478.05,367.83,311.63,205.81
Buenavista,357.63,576.59,547.58,398.8,327.89,239.02
Butuan City,352.23,599.32,559.18,429.87,357.06,244.05
Cabadbaran City,336.03,575.89,568.98,447.23,371.72,242.05
Carmen,300.95,482.17,516.43,391.42,321.95,218.21
Jabonga,292.08,462.44,495.69,373.56,322.14,214.14
Kitcharao,275.27,396.28,423.37,334.42,281.57,171.76
Las Nieves,260.88,354.95,409.79,334.88,272.09,165.73
Magallanes,246.42,317.99,395.83,339.66,263.79,160.96
Mainit Lake,283.53,368.03,386.24,312.07,277.19,171.5
