Provinces,August,September,October,November,December,January
Abra,504.766342,415.0272742,216.6850491,156.7894776,47.33952998,14.29205844
Agusan del Norte,208.6308853,184.9846376,232.8400135,301.8016771,456.7821673,480.8697099
Agusan del Sur,294.4024709,298.6516734,288.5826954,281.3999943,439.2380601,502.2499983
Aklan,402.798411,296.9605148,405.7764461,358.5119906,293.2567008,147.3268992
Albay,237.8302092,313.0184236,378.5578612,376.2243874,435.0788691,251.3429415
Antique,590.3674023,443.5972032,356.5622578,248.2400301,177.5932398,75.26202934
Apayao,278.2906026,311.106981,331.7322452,372.8859366,155.441843,49.41439305
Aurora,249.0323972,315.7084611,409.0314894,454.1363209,302.337304,130.4003525
Basilan,191.450544,197.4991372,224.6197947,168.4396537,124.440134,108.7774314
Bataan,757.4096359,459.2781743,222.167654,99.32643826,49.59080966,3.627053274
Batanes,380.3518517,312.236296,346.1337297,233.0850269,106.6862683,128.100352
Batangas,336.9416056,304.1794054,252.5594092,177.4324051,143.3758255,34.37357979
Benguet,702.1461504,399.212404,292.9178945,126.7050461,51.76735085,12.11206726
Biliran,261.8268625,243.6140551,358.8863041,319.6772378,394.4380613,317.211574
Bohol,185.5239417,181.0600621,201.5062854,219.8275701,218.0446557,186.9468648
Bukidnon,335.6356613,356.203778,289.1383524,225.7842763,215.5393587,171.4064825
Bulacan,512.6086531,425.4644772,264.83379,194.2567689,125.655807,31.79440474
Cagayan,221.2147266,258.8585632,339.3843991,375.350553,209.0159519,73.77741338
Camarines Norte,216.5248375,281.5344655,533.6529975,530.5697218,589.6509533,248.1485755
Camarines Sur,230.0755885,330.3284432,441.4153579,407.8387427,447.3127816,207.9473814
Camiguin,185.6675854,123.1647733,240.0912818,250.1237572,343.5001396,367.2446628
Capiz,342.2474954,320.9530366,334.9227328,278.9646467,232.651628,127.8736611
Catanduanes,211.0871749,279.0869335,537.0397521,468.3808719,495.3277403,320.2783811
Cavite,461.4217795,406.8729046,207.3036523,122.2138851,82.16030454,16.19885455
Cebu,189.7518931,188.5871662,216.6723427,197.1203398,184.0556354,148.4045876
Compostela Valley,213.8217775,226.1108591,260.1742443,236.0164177,327.681227,378.060486
Davao del Norte,261.0076712,297.6238497,273.0008784,205.0890236,225.0978302,263.508724
Davao del Sur,190.2185329,202.0944662,204.0138128,170.9853489,150.8540297,142.5402088
Davao Oriental,202.0076312,189.942549,237.0682,228.6029683,291.834664,327.3910308
Dinagat Islands,190.1896629,204.4706857,283.631999,368.0919263,523.5295763,547.6074751
Eastern Samar,210.224314,237.2093766,344.9148547,483.0671734,587.1549028,438.5842613
Guimaras,427.8847841,291.3983689,266.0548282,180.8899015,145.2894265,70.70633444
Ifugao,412.9272634,342.6369455,279.1569462,223.491371,128.2651714,39.76903604
Ilocos Norte,452.6836839,407.3171478,215.7870318,138.270885,39.74362185,15.78482217
Ilocos Sur,601.1327728,386.2761376,188.6863201,73.11271947,24.01097463,6.117669237
Iloilo,339.4399373,317.3629087,292.5256982,221.1944617,166.00357,94.94036486
Isabela,234.4463056,259.6161636,354.6220377,422.0774152,280.3861532,86.54286739
Kalinga,344.2721735,302.0948684,244.9310491,261.2514004,120.4349453,31.53175675
La Union,723.252201,402.4749545,218.5893064,65.54779369,28.83306847,4.373531369
Laguna,317.8590318,346.8156882,330.7549622,288.799504,261.5286754,70.9403406
Lanao del Norte,337.6982489,385.0554814,297.4771129,282.288098,245.6703914,169.6247997
Lanao del Sur,358.5842993,380.0550475,295.588591,273.9242264,226.8308603,149.2972485
Leyte,224.4076192,232.2817626,299.1043542,356.803706,418.8393899,386.4694976
Maguindanao,212.7606373,219.7164761,241.1422204,177.388541,125.5934487,102.1903678
Marinduque,182.4480271,230.838125,316.0718924,262.0978992,250.1375459,96.50272634
Masbate,210.2527987,255.8040405,276.0307139,252.9710551,271.3416668,192.8948944
Metropolitan Manila,451.812009,399.3951584,244.3009563,153.9150691,96.55231025,16.55198818
Misamis Occidental,242.923141,231.35364,283.7920609,354.6345388,307.133661,214.3916312
Misamis Oriental,230.7257876,235.3494048,220.5459369,226.530654,253.7328098,216.8818578
Mountain Province,425.197413,331.0031822,246.549576,201.931664,95.38329537,25.83664228
Negros Occidental,325.323525,267.95106,308.6999092,218.1253997,174.3318218,106.2285774
Negros Oriental,276.8688558,207.5690062,282.4283784,183.6353216,149.9178755,113.863187
