Municipality,August,September,October,November,December,"January, 2019"
Abra,504.77,415.03,216.69,156.79,47.34,14.29
Bangued,592.45,449.34,190.85,91,17.65,6.33
Boliney,461.62,371.33,223.82,199.16,70.7,16.66
Bucay,589.03,493.28,209.66,121,19.35,9.27
Bucloc,482.62,396.39,219.03,178.11,55.49,15.8
Daguioman,438.65,370.25,237.9,222.84,83.95,20.57
Danglas,563.8,421.5,186.58,118.19,27.12,8.29
Dolores,587.81,485.44,197.51,94.51,14.09,9.59
La Paz,587.98,460.27,192.23,95.74,17.6,7.77
Lacub,427.71,392.77,246.79,229.57,81.21,23.13
Lagangilang,552.8,467.67,205.37,117.75,20.86,12.26
Lagayan,512.25,428.99,207.83,141.5,32.15,12.89
Langiden,581.11,428.12,176.22,72.6,17.68,4.77
Licuan-Baay,473.69,421.03,226.05,185.05,52.9,17.52
Luba,512.98,400.27,200.21,124.94,38.23,9.96
Malibcong,419.33,373.85,247.84,244.23,94.85,24.76
Manabo,529.5,426.31,205.24,124.3,30.72,10.44
Peñarrubia,616.28,500.53,205.6,99.52,13.46,6.57
Pidigan,586.12,439.74,187.41,72.8,16.41,5.2
Pilar,546.71,399.83,198.67,83.8,22.18,6.92
Sallapadan,531.33,436.45,209.54,152.62,38.95,12.62
San Isidro,568.84,426.72,198.43,84.64,18.75,6.79
San Juan,529.33,440.63,204.05,121.94,27.95,13.1
San Quintin,574.95,421.49,175.96,66.33,21.78,4.15
Tayum,628.25,511.93,199.8,86.28,9.23,6.75
Tineg,425.24,399.33,254.52,233.3,77.95,24.14
Tubo,471.83,360.22,213.5,167.15,57.81,13.25
Villaviciosa,543.07,414.06,202.93,88.35,22.22,8.08
Agusan del Norte,208.63,184.98,232.84,301.8,456.78,480.87
Buenavista,198.88,165.03,212.82,257.18,320.07,367.39
Butuan City,194.6,169.55,210.9,265.82,385.65,464.1
Cabadbaran City,228.76,204.24,242.78,327.7,556.27,565.02
Carmen,166.54,164.91,208.82,279.36,361.17,375.47
Jabonga,217.98,189.67,259.08,353.28,589.65,555.62
Kitcharao,220.95,190.11,260.65,367.43,604.57,565.15
Las Nieves,233.92,208.52,240.21,272.2,347.82,422.91
Magallanes,155.33,164.26,184.45,278.44,418.09,477.37
Mainit Lake,184.16,187.28,245.09,361.28,586.1,553.29
Nasipit,191.84,158,216.44,262.77,338.92,363.51
Remedios T. Romualdez,215.81,192.53,227.79,304.13,499.81,531.15
Santiago,240.02,202.99,264.36,352.23,614.56,568.79
Tubay,189.7,184.02,237.41,322.93,531.47,547.51
Agusan del Sur,294.4,298.65,288.58,281.4,439.24,502.25
Bayugan City,258.42,210.57,247.18,293.41,452.88,546.69
Bunawan,292.04,322.92,305.73,313.23,522.9,576.7
Esperanza,260.09,242.44,255.25,261.35,377.94,466.41
La Paz,339.47,354.99,314.14,261.4,379.25,446.09
Loreto,332.44,375.42,318.94,262.71,373.76,415.2
Prosperidad,281.32,234.56,250.23,310.52,498.78,580.95
Rosario,292.26,304.92,287.66,328.13,562.7,587.52
San Francisco,294.02,290.66,279.19,304.26,512.29,580.57
San Luis,314.59,301.1,292.16,245.46,369.46,453.57
Santa Josefa,263.27,300.54,301.43,269.82,459.89,526.33
Sibagat,242.83,210.94,245.3,313.98,512.96,560.42
Talacogon,303.24,313.67,291.68,252.34,440.4,542.06
Trento,259.38,268.53,302.65,318.24,506.63,568.38
Veruela,302.79,358.66,317.13,256.14,391.39,417.18
Aklan,402.8,296.96,405.78,358.51,293.26,147.33
Altavas,273.19,252.35,362.44,339.31,301.56,159.07
Balete,292.47,220.69,382.09,376.28,349.62,179.09
Banga,280.55,201.23,407.08,359.8,280.89,154.25
Batan,249.42,202.3,368.28,356.85,317.75,162.23
Buruanga,508.91,360.68,374.29,330.29,269.83,132.93
Ibajay,482.93,358.75,457.72,393.81,317.87,161.47
Kalibo,236.87,201.37,393.14,349.59,237.32,132.23
Lezo,256.27,211.78,413.86,348.55,227.78,128.01
Libacao,469.43,366.91,400.31,351.94,305.21,142.04
Madalag,558.26,371.57,421.55,350.34,294.75,133.04
Makato,317.38,233.09,425,354.43,256.13,133.56
Malay,456.53,335.47,351.68,322.6,257.54,125.93
Malinao,455.1,306.3,451.87,376.6,299.83,146.78
Nabas,501.14,375.49,421.17,371.55,289.49,155.51
New Washington,234.68,189.8,368.92,352.99,289.79,150.15
Numancia,236.37,200.66,403.22,355.53,236.96,127.63
Tangalan,373.11,273.88,422.07,361.03,277.26,142.75
Albay,237.83,313.02,378.56,376.22,435.08,251.34
Bacacay,188.37,278.61,348.92,412.28,479.03,303.26
Bato Lake,236.25,332.2,375.58,378.03,414.07,191.26
Camalig,260.6,338.55,382.45,375.8,446.21,262.09
Daraga,266.64,332.75,386.28,413.74,466.8,295.83
Guinobatan,256.87,338.8,377.58,328.7,420.71,220.48
Jovellar,230.57,325.59,347.3,319.67,396.08,222.29
Legazpi City,238.02,295.95,356.38,389.36,449.35,286.59
Libon,239.88,340.72,373.4,359.57,392.71,193.24
Ligao City,248.3,335.78,372.86,335.57,398.65,212.36
Malilipot,243.36,304.5,405.63,443.37,509.54,313.17
Malinao,256.23,295.98,423.55,449.03,478.44,275.55
Manito,188.11,203.6,291.61,267.49,364.37,225.04
Oas,243.48,337.84,368.86,337.89,379.33,200.91
Pio Duran,229.15,332.38,352.31,310.31,376.71,198.68
Polangui,254.07,327.42,397.82,378.72,423.29,215.52
Rapu-Rapu,185.28,267.79,394.79,370.03,465.62,305.73
Santo Domingo,248.12,295.99,404.31,469.42,519.34,336.39
Tabaco City,240.25,308.99,402.04,430.47,483.38,289.47
Tiwi,257.33,301.93,434.07,457.48,478.47,271.06
Antique,590.37,443.6,356.56,248.24,177.59,75.26
Anini-Y,473.5,406.31,277.47,143.2,84.07,34.82
Barbaza,748.54,523.27,381.86,264.26,196.13,73.87
Belison,599.86,475.83,318.98,188.95,115.29,45.86
Bugasong,695.75,535.86,367.05,228.49,147.18,56.5
Caluya,462.84,330.33,280.94,222.45,149.09,60.57
Culasi,408.24,144.06,423.4,334.08,298.62,109.04
Hamtic,561.03,449.6,307.42,179.31,106.78,43.44
Laua-An,735.02,540.83,367.93,232.92,162.26,56.38
Libertad,497.89,376.09,379.11,323.37,261.73,129.88
Pandan,557.06,454.76,495.13,440.42,349.6,189.94
Patnongon,641.36,505.12,331.82,197.43,115.7,46.98
San Jose,570.8,497.32,322.52,178.83,78.87,37.05
San Remigio,591.63,477.56,315.52,194.19,119.28,54.07
Sebaste,620.74,456.67,515.7,439.3,363.97,178.81
Sibalom,576.83,452.35,307.55,188.8,116.33,49.85
Tibiao,759.91,499.32,400.03,307.62,253.56,84.22
Tobias Fornier,482.43,424.29,275.67,150.61,96.13,34.25
Valderrama,616.82,506.12,338.85,208.87,136.82,56.96
Apayao,278.29,311.11,331.73,372.89,155.44,49.41
Calanasan,318.79,343.8,359.04,334,123.9,38.96
Conner,296.63,303.74,284.01,369.43,155.94,39.76
Flora,232.9,283.52,306.05,349.34,149.97,60.14
Kabugao,281.89,317.68,344.21,419.61,174.58,51.68
Luna,246.72,293.74,352.2,369.76,164.47,55.19
Pudtol,246.08,300.73,324.99,402.33,170.28,58.74
Santa Marcela,227.23,257.48,319.84,303.31,163.22,81.1
Aurora,249.03,315.71,409.03,454.14,302.34,130.4
Baler,210.95,302.3,413.91,391.59,176.14,158.59
Casiguran,212.88,309.47,430.19,572.97,465.18,164.3
Dilasag,205.16,297.64,444.75,580.57,481.65,151.61
Dinalungan,228.33,329.46,407.02,485.56,355.99,126.45
